alabel,message
illegitime,– beautiful -sexy – sensual – and all the good stuff. You my dear put a smile on my face everyday !!!!!!!!!!!!! LOL on my face everyday !!!!!!!!!!!!! LOL Thank-You for your unconditional Love Thank-you for accepting me for me Thank-you for accepting where I am in my life today Thank-you for accepting Love from Me to You Thank-you for accepting to be there for me Thank-you for being You Thank-you for wanting to move in with me Thank-you for pausing to read my profile Thank-you for your Trust Thank-you for your Faith Thank-you for your loyalty Thank-you for your sweet words in your e-mails Thank-you for your sweet words on the phone
illegitime," Thank-you for opening your Heart to Love again Thank-you for making Love in the shower Thank-you for making Love in the pool Thank-you for making Love in the Hot Tub Thank-you for making Love anywhere & everywhere LOL Thank-you for going shopping with me Thank-you for your equal partnership Thank-you for being my second half Thank-you for being my Better half Thank-you for the expertise you bring to them Thank-you for your encouragement to walk into the future Thank-you for allowing me always open the car door for you Thank-you for the beautiful wedding suite Thank-you for our beautiful wedding"
illegitime,[Kian:] So here we stand In our secret place With a sound of the crowd So far away And you take my hand And it feels like home We both understand It’s where we belong [Bryan:] So how do I say? Do I say goodbye? We both have our dreams We both wanna fly So let’s take tonight To carry us through The lonely times [CHORUS:] [All:] I’ll always look back As I walk away This memory Will last for eternity And all of our tears Will be lost in the rain When I’ve found my way Back to your arms again But until that day You know you are The queen of my heart [Bryan:] Queen of my heart [Shane:] So let’s take tonight And never let go While dancing we’ll kiss Like there’s no tomorrow As the stars sparkle down Like a diamond ring I’ll treasure this moment Till we meet again [Mark: (All:)] But no matter how far (Matter how far) Or where you may be (Where you may be) I just close my eyes (I just close my eyes) And you’re in my dreams And there you will be Until we meet [Repeat chorus twice] [Shane: (All:)] Oh yeah
illegitime,"“I smiled to many people for more than a billion times; but when I first found you, my heart took over and smiled for the first time.” … This is how much I knew it is you I have been searching for all my life. “Your presence in my life brings wonderful smiles and loving thoughts within my heart.” … And so shall it be until the end of time “To love is to place our happiness in the happiness of another.” … That we are happy together is all I ever wanted and will ever want for the rest of my life “Kiss slowly, love deeply, forgive quickly. Life is too short for you to be disappointed any longer.” … I promise on my life honey… I promise to love you endlessly and our secrets shall always remain our secrets not to reveal to any other person; only between you and I “Just when I thought that love could never be a part of me, that’s when you came along and showed me happiness!” … Thank you for your endless love and I’m so happy we both appreciate every moment of our relationship since we found each other."
illegitime,"46 REASONS WHY I LOVE YOU. 1. I love the way we finish each others sentences. 2. I love the way I know you’ll never give up on me. 3. I love the fact that I wouldn’t ever give up on you. 4. I love how beautiful your eyes are. 5. I love the way I can’t imagine a day without you in my life. 6. I love the way if we were ever separated I wouldn’t know how to go on. 7. I love how I know you’ll always be there when I need you to be. 8. I love the fact that I will always be there for you too. 9. I love how when I dream of my life partner, the only person that I can see is you. 10. I love how complete I feel when I am with you. 11. I love the way you sometimes make me laugh. 12. I love the way you sometimes laugh. 13. I love your thoughtfulness. 14. I love your tenderness. 15. I love your ability to speak without saying a single word. 16. I love the way, how even though we may be miles apart I still feel like you’re right here with me. 17. I love the way you surprise me with the perfect emails that show you pay attention to me. 18. I love your love for the things that interest me. 19. I love the way you let me live my life freely without jealousy. 20. I love how you demand respect but are not controlling. 21. I love how I would do anything in this world to make you happy. 22. I love how you would do anything in this world to make me happy. 23. I love the way your voice sounds over the phone. 24. I love the way your voice sounds when you whisper sweet nothings in my ear. 25. I love the completeness and oneness I feel when I think of us making love. 26. I love your sensuality. 27. I love how our romance feels like the perfect romance movie. 28. I love how you are my soul mate. 29. I love the way you handle troubled times. 30. I love the way you respect me. 31. I love the way you protect and defend me. 32. I love when I imagine the softness of your lips against mine. 33. I love when I imagine the softness of you lips against my body. 34. I love when I imagine the feeling of your hair brushing against me when we make love. 35. I love when I imagine us laying in bed at night talking about nothing. 36. I love when I imagine us waking up to find we’ve been cuddling together all night. 37. I love the surprises you leave for me. 38. I love your intelligence. 39. I love your ingenuity. 40. I love your love for life. 41. I love your passion for your hobbies and interests. 42. I love how every time I look at your picture, you take my breath away. 43. I love how I thank God everyday for bringing someone as wonderful as you into my life. 44. I love the fact you gave me the gift of life. 45. I love the special moments that we shared that will remain my fondest memories of you and I. 46. I love you for you. Sweetheart, you mean life to me. THANK YOU SO MUCH LOVE. I CAN’T WAIT FOR US TO BEGIN OUR NEW LIVES TOGETHER!!! LONG KISSES AND HUGS"
illegitime,"A life full of joy A life full of happiness A special sweetness that never ends Certainly it is our destiny To be together till eternity You cannot imagine how much I hate to say this But I know it’s all good That I go out now and get the doors changed Good morning sweetest of souls! Please enjoy your day. Love ya! PS- I’ll call you and let you know when I get my payment. I am more than happy my love, you just can’t imagine! Thank you for every thing and I promise to refund all your money soon."
illegitime,"A POEM FOR YOU I NEED YOU MORE… THE FIRST TIME I SAW YOUR FACE, EVEN THOUGH IT WAS IN THE PICTURE I THOUGHT THE SUN ROSE IN YOUR EYES AND THE MOON AND THE STARS WERE THE GIFT YOU GAVE ME THE FIRST TIME EVER I KISSED YOUR MOUTH EVEN THOUGH IT WAS ON THE SCREEN OF MY SYSTEM, I FELT THE EARTH WOULD TURN IN MY HAND THE FIRST TIME EVER I LAY WITH YOU, EVEN THOUGH IT WAS IN MY DREAM, I FELT YOUR HEART CLOSE TO MINE AND I KNEW OUR JOY WOULD FILL THE EARTH AND WOULD LAST TILL THE END OF THIS WORLD FOR ALL THOSE TIME YOU OPENED MY EYES AND ALL THE TRUTH YOU MADE ME SEE FOR ALL THE JOY YOU BROUGHT TO MY LIFE FOR ALL THE LOVE I FOUND IN YOU"
illegitime,"Absolutely I have come to know that we spend most of our life seeking for the secondary needs, while our primary needs are left unseen. We have worked so hard and attained some wealth right? But for what purpose? To be realistic, except if you just want to be known as a rich person, wealth means nothing if you have no best friend to share it with. All the millions are useless indeed. How much do we need to eat? How much do we need for shelter? How much do we need for daily fun? Excess and excess leads us to vanity. But for few of us who value the simplicity, we sure would do well in finding happiness. As I always say, money can buy a good bed, but never will money buy sleep; It can buy the best diamond watch, but can never buy time; it can buy piles of books, but cant buy knowledge; it can buy food, but not satisfaction; MONEY can buy sex, but can NEVER buy love. That is why I refuse to follow the crowd. So as my own man, I would give up all that can be bought for that which cant be bought. I want true joy and happiness. I want my woman to have power over my moods."
illegitime,"After reviewing the whole work, they questioned the difference in doors and I tried to explain every thing, hoping they would comprehend but instead, they brought out our agreement, reminded me of what I promised to use and never to default. I spent time trying to make them understand that it was the market cost of these things that dragged me into such decision but yet, they wouldn’t comprehend. I again asked if they could pay a part of my money and the question that followed was, ‘sir Ben Gold, why are we paying you $30Million if we need someone to use our own money to execute the project?’ I told them I really do understand they are paying three times my invested capital but as the situation is, I would need few thousands to change the doors. We argued over this for long and at a point in time, they almost got incensed with my explanation and concluded they only came with my check as issued from the head quarter in Dubai and no way for them to pay a part of the money. They also advised that I get the job done as quickly as possible so I don’t get penalized for long delay."
illegitime,"An adult with an open-heart. A man who puts a smile on your face everyday. I will be that man who’s there for you just as you’re there for me, the one who encourages you through life’s ups and downs. But ultimately, I want to be the man who is your everything. Not a second goes by that I don’t think about you. You have brought so much joy to my life and you give me so much to look forward to when I wake up every morning. I want you to know that I sincerely appreciate you and I can never tell you enough that “I LOVE YOU!” Already you got my head swollen and my stomach full of butterflies. You make me feel like entering into these words and just come out from your computer when you log on into your email to check this message. I really need to exercise myself enough to receive all the hugs awaiting me. I wonder what to call you my love, I think you are the number one criminal in the world. You are a perfect ‘heart robber’ for stealing all my heart without leaving even a space for me. How wonderful you are my heart robber! LOL. Please take good care of yourself and have a splendid day. Thinking of you~~~~~~~~~~~~~~ XOXOXOXOXOXOX"
