code_experience;type;score;tn;fp;fn;tp;fpr;fnr;precision;rappel;specificite;erreur_model;k;n_components;kernel;n_estimators;k_neighbors;t_training;t_test
tf_mic_nmf_lg;I;0.645;66;45;25;61;0.405;0.291;0.575;0.709;0.595;70;2000;200;;0;0;530.253;0.275
tf_mic_nmf_rf;I;0.766;75;36;10;76;0.324;0.116;0.679;0.884;0.676;46;2500;250;;750;0;1190.329;0.331
tf_mic_nmf_svm;I;0.772;88;23;22;64;0.207;0.256;0.736;0.744;0.793;45;2000;250;linear;0;0;1421.241;0.269
tf_mic_lsa_lg;I;0.868;99;12;14;72;0.108;0.163;0.857;0.837;0.892;26;2000;200;;0;0;72.954;0.031
tf_mic_lsa_rf;I;0.827;85;26;8;78;0.234;0.093;0.75;0.907;0.766;34;2500;200;;750;0;294.28;0.124
tf_mic_lsa_svm;I;0.802;95;16;23;63;0.144;0.267;0.797;0.733;0.856;39;2000;250;linear;0;0;266.663;0.04
tf_mic_ipca_lg;I;0.878;97;14;10;76;0.126;0.116;0.844;0.884;0.874;24;2000;250;;0;0;70.889;0.03
tf_mic_ipca_rf;I;0.827;89;22;12;74;0.198;0.14;0.771;0.86;0.802;34;2000;200;;750;0;288.867;0.165
tf_mic_ipca_svm;I;0.838;94;17;15;71;0.153;0.174;0.807;0.826;0.847;32;2000;250;linear;0;0;265.265;0.045
tf_ki2_nmf_lg;I;0.711;71;40;17;69;0.36;0.198;0.633;0.802;0.64;57;2000;200;;0;0;351.618;0.26
tf_ki2_nmf_rf;I;0.797;101;10;30;56;0.09;0.349;0.848;0.651;0.91;40;2500;250;;1000;0;1129.226;0.365
tf_ki2_nmf_svm;I;0.711;70;41;16;70;0.369;0.186;0.631;0.814;0.631;57;2500;200;linear;0;0;1787.494;0.355
tf_ki2_lsa_lg;I;0.873;98;13;12;74;0.117;0.14;0.851;0.86;0.883;25;2500;200;;0;0;4.941;0.058
tf_ki2_lsa_rf;I;0.838;89;22;10;76;0.198;0.116;0.776;0.884;0.802;32;2000;200;;750;0;117.723;0.156
tf_ki2_lsa_svm;I;0.817;99;12;24;62;0.108;0.279;0.838;0.721;0.892;36;2000;200;linear;0;0;21.025;0.084
tf_ki2_ipca_lg;I;0.848;99;12;18;68;0.108;0.209;0.85;0.791;0.892;30;2000;200;;0;0;4.056;0.065
tf_ki2_ipca_rf;I;0.853;95;16;13;73;0.144;0.151;0.82;0.849;0.856;29;2000;200;;750;0;123.984;0.175
tf_ki2_ipca_svm;I;0.832;98;13;20;66;0.117;0.233;0.835;0.767;0.883;33;2000;200;linear;0;0;18.245;0.08
