code_experience;type;score;tn;fp;fn;tp;fpr;fnr;precision;rappel;specificite;erreur_model;k;n_components;kernel;n_estimators;n_neighbors;t_training;t_test
tf_mic_nmf_kn;I;0.589;82;29;52;34;0.261;0.605;0.54;0.395;0.739;81;2000;200;;0;3;759.357;0.179
tf_mic_lsa_kn;I;0.533;71;40;52;34;0.36;0.605;0.459;0.395;0.64;92;2000;200;;0;3;136.103;0.058
tf_mic_ipca_kn;I;0.523;71;40;54;32;0.36;0.628;0.444;0.372;0.64;94;2000;200;;0;3;137.003;0.058
tf_ki2_nmf_kn;I;0.604;80;31;47;39;0.279;0.547;0.557;0.453;0.721;78;2000;200;;0;3;800.169;0.314
tf_ki2_lsa_kn;I;0.523;65;46;48;38;0.414;0.558;0.452;0.442;0.586;94;2000;200;;0;3;9.438;0.057
tf_ki2_ipca_kn;I;0.523;65;46;48;38;0.414;0.558;0.452;0.442;0.586;94;2000;200;;0;3;4.94;0.064
tfidf_mic_nmf_kn;I;0.655;73;38;30;56;0.342;0.349;0.596;0.651;0.658;68;2500;200;;0;3;608.985;0.22
tfidf_mic_lsa_kn;I;0.64;104;7;64;22;0.063;0.744;0.759;0.256;0.937;71;2000;200;;0;5;137.797;0.056
tfidf_mic_ipca_kn;I;0.64;106;5;66;20;0.045;0.767;0.8;0.233;0.955;71;2000;200;;0;5;138.188;0.07
tfidf_ki2_nmf_kn;I;0.675;81;30;34;52;0.27;0.395;0.634;0.605;0.73;64;2000;200;;0;5;461.366;0.127
tfidf_ki2_lsa_kn;I;0.645;106;5;65;21;0.045;0.756;0.808;0.244;0.955;70;2000;200;;0;5;6.336;0.062
tfidf_ki2_ipca_kn;I;0.675;108;3;61;25;0.027;0.709;0.893;0.291;0.973;64;2000;200;;0;5;4.959;0.066
ngram3_mic_nmf_kn;I;0.68;88;23;40;46;0.207;0.465;0.667;0.535;0.793;63;2500;200;;0;3;1097.015;2.186
ngram3_mic_lsa_kn;I;0.797;99;12;28;58;0.108;0.326;0.829;0.674;0.892;40;2500;200;;0;5;151.765;0.135
ngram3_mic_ipca_kn;I;0.817;98;13;23;63;0.117;0.267;0.829;0.733;0.883;36;2000;200;;0;3;151.185;0.159
ngram3_ki2_nmf_kn;I;0.594;71;40;40;46;0.36;0.465;0.535;0.535;0.64;80;2500;250;;0;3;944.181;2.874
ngram3_ki2_lsa_kn;I;0.802;96;15;24;62;0.135;0.279;0.805;0.721;0.865;39;2000;200;;0;3;15.091;0.146
ngram3_ki2_ipca_kn;I;0.797;96;15;25;61;0.135;0.291;0.803;0.709;0.865;40;2000;200;;0;3;14.798;0.183
