code_experience;type;score;tn;fp;fn;tp;fpr;fnr;precision;rappel;specificite;erreur_model;k;n_components;kernel;n_estimators;k_neighbors;t_training;t_test
tfidf_mic_nmf_lg;I;0.655;45;66;2;84;0.595;0.023;0.56;0.977;0.405;68;2000;250;;0;0;353.352;0.266
tfidf_mic_nmf_rf;I;0.873;96;15;10;76;0.135;0.116;0.835;0.884;0.865;25;2000;200;;750;0;950.1;0.235
tfidf_mic_nmf_svm;I;0.563;26;85;1;85;0.766;0.012;0.5;0.988;0.234;86;2000;200;linear;0;0;6195.304;0.149
tfidf_mic_lsa_lg;I;0.832;87;24;9;77;0.216;0.105;0.762;0.895;0.784;33;2000;200;;0;0;72.17;0.03
tfidf_mic_lsa_rf;I;0.848;89;22;8;78;0.198;0.093;0.78;0.907;0.802;30;2000;200;;1000;0;290.091;0.155
tfidf_mic_lsa_svm;I;0.853;90;21;8;78;0.189;0.093;0.788;0.907;0.811;29;2500;200;linear;0;0;269.635;0.045
tfidf_mic_ipca_lg;I;0.838;88;23;9;77;0.207;0.105;0.77;0.895;0.793;32;2000;250;;0;0;71.174;0.033
tfidf_mic_ipca_rf;I;0.802;79;32;7;79;0.288;0.081;0.712;0.919;0.712;39;2000;250;;500;0;290.298;0.113
tfidf_mic_ipca_svm;I;0.853;90;21;8;78;0.189;0.093;0.788;0.907;0.811;29;2500;200;linear;0;0;302.625;0.058
tfidf_ki2_nmf_lg;I;0.467;17;94;11;75;0.847;0.128;0.444;0.872;0.153;105;2000;200;;0;0;312.692;0.161
tfidf_ki2_nmf_rf;I;0.858;101;10;18;68;0.09;0.209;0.872;0.791;0.91;28;2000;200;;750;0;661.68;0.233
tfidf_ki2_nmf_svm;I;0.437;0;111;0;86;1.0;0.0;0.437;1.0;0.0;111;2000;250;rbf;0;0;867.997;0.176
tfidf_ki2_lsa_lg;I;0.853;90;21;8;78;0.189;0.093;0.788;0.907;0.811;29;2000;250;;0;0;2.58;0.047
tfidf_ki2_lsa_rf;I;0.853;90;21;8;78;0.189;0.093;0.788;0.907;0.811;29;2000;200;;750;0;94.471;0.123
tfidf_ki2_lsa_svm;I;0.858;92;19;9;77;0.171;0.105;0.802;0.895;0.829;28;2500;250;linear;0;0;11.948;0.049
tfidf_ki2_ipca_lg;I;0.838;87;24;8;78;0.216;0.093;0.765;0.907;0.784;32;2000;200;;0;0;1.734;0.035
tfidf_ki2_ipca_rf;I;0.878;99;12;12;74;0.108;0.14;0.86;0.86;0.892;24;2500;200;;500;0;91.984;0.108
tfidf_ki2_ipca_svm;I;0.843;90;21;10;76;0.189;0.116;0.784;0.884;0.811;31;2500;250;linear;0;0;8.777;0.05
